warmup=0  skip_sdma0=1

=== load: carregando checkpoint (ainda sem tracer) ===
    carregado em 6.0s

=== clip: encode do prompt ===
     1 [clip        ] ANTES  aten.detach.default                          ():float32:cpu
     2 [clip        ] ANTES  aten.detach.default                          (49408, 768):float16:cpu
     3 [clip        ] ANTES  aten.detach.default                          (77, 768):float16:cpu
     4 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
     5 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
     6 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
     7 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
     8 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
     9 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    10 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    11 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    12 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    13 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    14 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    15 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    16 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
    17 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
    18 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
    19 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    20 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    21 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    22 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    23 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    24 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    25 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    26 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    27 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    28 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
    29 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    30 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    31 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    32 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
    33 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
    34 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
    35 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    36 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
    37 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
